customerID,Good_Bad_flag
8a858e135cb22031015cbafc76964ebd,0.0
8a858e275c7ea5ec015c82482d7c3996,1.0
8a858e5b5bd99460015bdc95cd485634,1.0
8a858e5b5bd99460015bdc95cd485634,1.0
8a858e5b5bd99460015bdc95cd485634,0.0
8a858efd5ca70688015cabd1f1e94b55,1.0
8a858ea05a859123015a8892914d15b7,1.0
8a858ea05a859123015a8892914d15b7,1.0
8a858ea05a859123015a8892914d15b7,1.0
8a858ea05a859123015a8892914d15b7,1.0
8a858ea05a859123015a8892914d15b7,1.0
8a858f405d13c45f015d13dd93ec0c1c,1.0
8a858f2a5ce989dd015ce9fc24b1474b,1.0
8a858f3a5c10828d015c109746d20aee,1.0
8a858fb4563228d201564fd7519f22a8,0.0
8a858fb4563228d201564fd7519f22a8,1.0
8a858fb4563228d201564fd7519f22a8,0.0
8a858fb4563228d201564fd7519f22a8,1.0
8a858fb4563228d201564fd7519f22a8,1.0
8a858fb4563228d201564fd7519f22a8,1.0
8a858f955a61ad4e015a69ee1edd0d3d,1.0
8a858f955a61ad4e015a69ee1edd0d3d,1.0
8a858f955a61ad4e015a69ee1edd0d3d,1.0
8a858f955a61ad4e015a69ee1edd0d3d,0.0
8a858ff25a6a19ee015a6abff5ed659c,0.0
8a858ff25a6a19ee015a6abff5ed659c,1.0
8a858ff25a6a19ee015a6abff5ed659c,0.0
8a858e6c5c88d145015c894de1a91c5c,1.0
8a858eb45876dcc501587dae11f2283e,1.0
8a858eb45876dcc501587dae11f2283e,1.0
8a858eb45876dcc501587dae11f2283e,1.0
8a858eb45876dcc501587dae11f2283e,1.0
8a858eb45876dcc501587dae11f2283e,1.0
8a858eb45876dcc501587dae11f2283e,1.0
8a858f2f54e28d530154ecdd303004fa,0.0
8a858f2f54e28d530154ecdd303004fa,1.0
8a858f6c570f2d660157238b0c4a1bdd,1.0
8a858f6c570f2d660157238b0c4a1bdd,0.0
8a858f6c570f2d660157238b0c4a1bdd,0.0
8a858f6c570f2d660157238b0c4a1bdd,1.0
8a858f6c570f2d660157238b0c4a1bdd,1.0
8a858f6c570f2d660157238b0c4a1bdd,1.0
8a858f6c570f2d660157238b0c4a1bdd,1.0
8a85893d542e18bc01542e37365c120a,1.0
8a85893d542e18bc01542e37365c120a,1.0
8a85893d542e18bc01542e37365c120a,1.0
8a85893d542e18bc01542e37365c120a,1.0
8a85893d542e18bc01542e37365c120a,1.0
8a85893d542e18bc01542e37365c120a,1.0
8a8588f35438fe12015444567666018e,1.0
8a8588f35438fe12015444567666018e,1.0
8a8588f35438fe12015444567666018e,1.0
8a8588f35438fe12015444567666018e,1.0
8a8588f35438fe12015444567666018e,1.0
8a8588f35438fe12015444567666018e,1.0
8a858f275c451af5015c49a2c43b5fb2,1.0
8a858e2155defefd0155e12953ee00a1,0.0
8a858e2155defefd0155e12953ee00a1,1.0
8a858e2155defefd0155e12953ee00a1,1.0
8a858e2155defefd0155e12953ee00a1,0.0
8a858e2155defefd0155e12953ee00a1,1.0
8a858e2155defefd0155e12953ee00a1,1.0
8a858e2155defefd0155e12953ee00a1,0.0
8a858e2155defefd0155e12953ee00a1,0.0
8a858e2155defefd0155e12953ee00a1,1.0
8a858e2155defefd0155e12953ee00a1,1.0
8a858e4b5a7f868b015a80f3822d505b,1.0
8a858e4b5a7f868b015a80f3822d505b,1.0
8a858e4b5a7f868b015a80f3822d505b,1.0
8a858e4b5a7f868b015a80f3822d505b,1.0
8a858e4b5a7f868b015a80f3822d505b,0.0
8a858f125c5f88b1015c603d2810428c,1.0
8a858ee75a6156c0015a635f394a5f79,1.0
8a858ee75a6156c0015a635f394a5f79,1.0
8a858ee75a6156c0015a635f394a5f79,0.0
8a858ee75a6156c0015a635f394a5f79,1.0
8a858ee75a6156c0015a635f394a5f79,1.0
8a858ee75a6156c0015a635f394a5f79,1.0
8a858f445d41ebbe015d50c105334acc,1.0
8a858f285d3ca5c4015d3cbb1f94073a,1.0
8a858f225bfdb280015c108bf6f53281,1.0
8a858f7e564ad338015654d3a5c242a5,1.0
8a858f7e564ad338015654d3a5c242a5,1.0
8a858f7e564ad338015654d3a5c242a5,1.0
8a858f7e564ad338015654d3a5c242a5,1.0
